,Unnamed: 0,Unnamed: 0.1,Building,ClientMacAddr,Level,lat,lng,localtime,datetime,waiting_time
59090,55879,201937,TPS2,58:d9:c3:1b:ff:b5,Level 3,-22.81430416,-43.24724911,01:00.3,01:00.3,45.55425
59092,55943,202141,TPS2,cc:c0:79:4c:15:8b,Level 3,-22.81450438,-43.24726966,01:13.1,01:13.1,0
59095,55992,202307,TPS2,24:18:1d:76:c1:b2,Level 3,-22.81428694,-43.24712597,01:18.5,01:18.5,0
59102,56154,202839,TPS2,7c:8b:b5:c9:12:b5,Level 3,-22.81431461,-43.24713209,01:50.7,01:50.7,34.5062
59103,56180,202933,TPS2,98:39:8e:a8:7a:c9,Level 3,-22.8143135,-43.24718582,01:53.7,01:53.7,0
59137,56968,205633,TPS2,98:39:8e:de:c5:1b,Level 3,-22.81431423,-43.247261,04:26.5,04:26.5,0
59139,56994,205727,TPS2,cc:c0:79:86:ed:d8,Level 3,-22.81416624,-43.24756301,04:30.9,04:30.9,1.67E-05
59143,57014,205770,TPS2,90:73:5a:29:b0:21,Level 3,-22.81445807,-43.24718438,04:33.0,04:33.0,12944.40083
59146,57158,206231,TPS2,38:9a:f6:7d:06:e5,Level 3,-22.81442381,-43.24716437,04:58.3,04:58.3,71.78905
59148,57173,206275,TPS2,20:47:da:d7:7a:52,Level 3,-22.8144443,-43.24712325,05:00.2,05:00.2,1.67E-05
59150,57197,206337,TPS2,fc:64:3a:21:55:04,Level 3,-22.81428707,-43.24724001,05:05.2,05:05.2,28.8972
59154,57279,206611,TPS2,5c:51:88:9b:12:5f,Level 3,-22.8141512,-43.2472513,05:19.5,05:19.5,42.34863333
59157,57303,206677,TPS2,98:39:8e:71:83:0f,Level 3,-22.81450392,-43.24738488,05:23.6,05:23.6,0
59166,57417,207044,TPS2,f0:d7:aa:ea:76:d0,Level 3,-22.81450505,-43.24730268,05:45.2,05:45.2,49.17511667
59178,57699,207970,TPS2,10:f1:f2:59:37:d5,Level 3,-22.81427844,-43.24723466,06:36.0,06:36.0,71.25408333
59185,57816,208394,TPS2,90:63:3b:0f:3b:cd,Level 3,-22.81445324,-43.24721615,06:54.9,06:54.9,1.67E-05
59188,57886,208602,TPS2,a8:16:d0:01:f7:71,Level 3,-22.81432616,-43.24714774,07:06.2,07:06.2,0.000233333
59196,57963,208846,TPS2,00:3d:e8:af:ab:4a,Level 3,-22.81444361,-43.24721726,07:18.9,07:18.9,75.6889
59210,58173,209532,TPS2,a8:87:b3:06:b6:60,Level 3,-22.81446447,-43.24716184,07:54.0,07:54.0,3.340566667
59228,58462,210454,TPS2,f4:f5:db:a3:2f:41,Level 3,-22.81449242,-43.24719109,08:34.6,08:34.6,68.91156667
59232,58488,210552,TPS2,cc:c0:79:8d:8b:8a,Level 3,-22.81446883,-43.24748392,08:40.1,08:40.1,1.67E-05
59243,58750,211404,TPS2,48:49:c7:97:e3:0a,Level 3,-22.8143655,-43.24721017,09:23.6,09:23.6,0
59247,58779,211490,TPS2,cc:61:e5:83:7c:fb,Level 3,-22.81425135,-43.24728262,09:28.2,09:28.2,12.34856667
59271,59098,212562,TPS2,04:1b:6d:ed:0a:61,Level 3,-22.81427994,-43.2472791,10:26.6,10:26.6,5.307683333
59281,59192,212904,TPS2,50:92:b9:ed:a8:82,Level 3,-22.81436191,-43.24735553,10:43.1,10:43.1,76.06953333
59282,59282,213237,TPS2,5c:51:81:fa:bb:87,Level 3,-22.81444084,-43.2475614,11:02.2,11:02.2,44.22996667
59293,59478,213813,TPS2,60:f4:45:5c:95:b4,Level 3,-22.81425006,-43.24728201,11:34.5,11:34.5,80.42418333
59296,59518,213943,TPS2,60:1d:91:a3:76:1c,Level 3,-22.81444441,-43.24740247,11:42.7,11:42.7,0
59299,59531,213969,TPS2,a8:16:d0:95:1e:09,Level 3,-22.81431864,-43.24724087,11:43.4,11:43.4,37.89575
59306,59638,214321,TPS2,48:49:c7:19:79:e2,Level 3,-22.81429716,-43.24726913,12:01.2,12:01.2,18.29686667
59309,59669,214399,TPS2,70:fd:46:d9:50:8c,Level 3,-22.81435978,-43.24713294,12:05.9,12:05.9,12.1943
59310,59675,214419,TPS2,c0:8c:71:b5:ff:c7,Level 3,-22.81422603,-43.24713797,12:06.1,12:06.1,74.27858333
59311,59687,214457,TPS2,60:45:cb:05:8f:1c,Level 3,-22.81423866,-43.24723893,12:09.8,12:09.8,0
59318,59893,215177,TPS2,30:cb:f8:1b:61:e7,Level 3,-22.81438325,-43.24732626,12:51.8,12:51.8,57.9066
59340,60180,215971,TPS2,2c:4d:54:df:8d:b7,Level 3,-22.81421171,-43.24720271,13:36.6,13:36.6,69.42868333
59341,60203,216041,TPS2,68:7d:6b:0e:cd:7d,Level 3,-22.81438488,-43.24755616,13:39.2,13:39.2,4.321416667
59344,60207,216051,TPS2,08:d4:6a:fb:e5:e5,Level 3,-22.81445866,-43.24725312,13:39.4,13:39.4,0
59352,60323,216412,TPS2,80:58:f8:07:32:33,Level 3,-22.81450975,-43.24754536,14:02.8,14:02.8,0.000133333
59354,60348,216481,TPS2,d0:04:01:40:06:a7,Level 3,-22.81429817,-43.24745551,14:06.5,14:06.5,0.525783333
59381,60769,217857,TPS2,0a:c5:e1:8c:d1:cf,Level 3,-22.81436858,-43.24721036,15:17.0,15:17.0,0
59394,61083,218933,TPS2,fc:64:3a:09:b6:a4,Level 3,-22.81435751,-43.24721385,16:14.9,16:14.9,38.04616667
59395,61087,218939,TPS2,7c:8b:b5:88:4e:75,Level 3,-22.81446304,-43.24727957,16:15.0,16:15.0,2.681416667
59396,61114,219027,TPS2,58:d9:c3:79:44:0b,Level 3,-22.81440668,-43.24721685,16:18.9,16:18.9,49.48705
59398,61143,219115,TPS2,e8:e8:b7:98:f5:08,Level 3,-22.81435844,-43.24749015,16:26.2,16:26.2,0
59408,61240,219423,TPS2,a8:16:d0:c5:0d:71,Level 3,-22.81439831,-43.24733127,16:45.7,16:45.7,67.26325
59457,62146,222417,TPS2,30:4b:07:09:50:27,Level 3,-22.8144866,-43.24721583,19:44.2,19:44.2,2.2251
59460,62209,222639,TPS2,38:80:df:04:97:64,Level 3,-22.81450205,-43.24722737,19:55.1,19:55.1,45.98691667
59463,62249,222773,TPS2,6c:4d:73:90:49:6e,Level 3,-22.81442988,-43.2471725,20:03.2,20:03.2,10.2626
59469,62360,223103,TPS2,f8:95:ea:61:aa:4b,Level 3,-22.81434118,-43.24723224,20:22.7,20:22.7,58.21401667
59470,62375,223147,TPS2,50:92:b9:f1:d4:46,Level 3,-22.81422783,-43.24731771,20:24.1,20:24.1,5.524416667
59474,62452,223441,TPS2,c4:98:80:7f:f4:85,Level 3,-22.81422431,-43.24754813,20:44.0,20:44.0,33.25346667
59479,62686,224209,TPS2,48:60:5f:6f:e8:1b,Level 3,-22.8142486,-43.24730608,21:30.0,21:30.0,35.61523333
59495,62988,225173,TPS2,68:c4:4d:24:2f:f2,Level 3,-22.81422825,-43.24756533,22:28.7,22:28.7,5.047416667
59499,63022,225289,TPS2,fc:64:3a:2a:08:84,Level 3,-22.81441882,-43.24738474,22:35.1,22:35.1,51.52228333
59521,63602,227185,TPS2,80:82:23:6e:cf:a9,Level 3,-22.81448415,-43.2475246,24:20.5,24:20.5,65.5125
59522,63605,227195,TPS2,b8:08:cf:00:ed:a2,Level 3,-22.81449507,-43.24748892,24:20.7,24:20.7,39.97816667
59539,63875,228103,TPS2,60:1d:91:02:97:d2,Level 3,-22.81448406,-43.2475508,25:13.1,25:13.1,55.75545
59543,63883,228122,TPS2,38:80:df:7c:b1:d5,Level 3,-22.81417625,-43.24730273,25:13.4,25:13.4,0
59545,63954,228266,TPS2,a8:db:03:21:03:23,Level 3,-22.81414914,-43.24721011,25:23.7,25:23.7,0.004883333
59553,64072,228653,TPS2,88:64:40:2a:d7:b3,Level 3,-22.81447694,-43.24755247,25:47.2,25:47.2,53.1023
59558,64194,229065,TPS2,a8:16:d0:8a:2a:7f,Level 3,-22.81441656,-43.24717076,26:13.8,26:13.8,9.040616667
